Time (s),I_meas (mA)
6.63,41.45493288428715
6.640000000000001,41.45493288428715
6.65,41.45493288428715
6.66,41.45493288428715
6.67,41.45493288428715
6.68,41.45493288428715
6.69,41.45493288428715
6.7,41.45493288428715
6.71,41.45493288428715
6.72,41.45493288428715
6.73,41.45493288428715
6.74,41.45493288428715
6.75,41.45493288428715
6.76,41.45493288428715
6.77,41.45493288428715
6.78,41.45493288428715
6.79,41.45493288428715
6.8,41.45493288428715
6.81,41.45493288428715
6.82,41.45493288428715
6.83,41.45493288428715
6.84,41.45493288428715
6.850000000000001,41.45493288428715
6.86,41.45493288428715
6.87,41.45493288428715
6.88,41.45493288428715
6.890000000000001,41.45493288428715
6.9,41.45493288428715
6.91,41.45493288428715
6.92,41.45493288428715
6.93,41.45493288428715
6.94,41.45493288428715
6.95,41.45493288428715
6.96,41.45493288428715
6.97,41.45493288428715
6.98,41.45493288428715
6.99,41.45493288428715
7,41.45493288428715
7.01,41.45493288428715
7.02,41.45493288428715
7.03,41.45493288428715
7.04,41.45493288428715
7.05,41.45493288428715
7.06,41.45493288428715
7.07,41.45493288428715
7.08,41.45493288428715
7.09,41.45493288428715
7.100000000000001,41.45493288428715
7.11,41.45493288428715
7.12,41.45493288428715
7.13,41.45493288428715
7.140000000000001,41.45493288428715
7.15,41.45493288428715
7.16,41.45493288428715
7.17,41.45493288428715
7.18,41.45493288428715
7.19,41.45493288428715
7.2,41.45493288428715
7.21,41.45493288428715
7.22,41.45493288428715
7.23,41.45493288428715
7.24,41.45493288428715
7.25,41.45493288428715
7.26,41.45493288428715
7.27,41.45493288428715
7.28,41.45493288428715
7.29,41.45493288428715
7.3,41.45493288428715
7.31,41.45493288428715
7.32,41.45493288428715
7.33,41.45493288428715
7.34,41.45493288428715
7.350000000000001,41.45493288428715
7.36,41.45493288428715
7.37,41.45493288428715
7.38,41.45493288428715
7.390000000000001,41.45493288428715
7.4,41.45493288428715
7.41,41.45493288428715
7.42,41.45493288428715
7.43,41.45493288428715
7.44,41.45493288428715
7.45,41.45493288428715
7.46,41.45493288428715
7.47,41.45493288428715
7.48,41.45493288428715
7.49,41.45493288428715
7.5,41.45493288428715
7.51,41.45493288428715
7.52,41.45493288428715
7.53,41.45493288428715
7.54,41.45493288428715
7.55,39.77642490094871
7.56,33.06239296759497
7.57,33.06239296759497
7.58,33.06239296759497
7.59,33.06239296759497
7.600000000000001,33.06239296759497
7.61,33.06239296759497
7.62,33.06239296759497
7.63,33.06239296759497
7.640000000000001,33.06239296759497
7.65,33.06239296759497
7.66,33.06239296759497
7.67,33.06239296759497
7.68,31.38388498425653
7.69,31.38388498425653
7.7,31.38388498425653
7.71,33.06239296759497
7.72,33.06239296759497
7.73,33.06239296759497
7.74,33.06239296759497
7.75,33.06239296759497
7.76,31.38388498425653
7.77,33.06239296759497
7.78,33.06239296759497
7.79,33.06239296759497
7.8,31.38388498425653
7.81,33.06239296759497
7.82,33.06239296759497
7.83,31.38388498425653
7.84,33.06239296759497
7.850000000000001,31.38388498425653
